latitude,longitude,city,region_name,country_name,sport_name,number_of_customers
-26.4880,153.0758,Peregian Springs,Queensland,Australia,Rugby League,16
-31.9522,115.8614,Perth,Western Australia,Australia,Rugby League,1195
-27.5833,153.1000,Eight Mile Plains,Queensland,Australia,Rugby Union,226
-37.8895,145.0581,Carnegie,Victoria,Australia,Rugby Union,262
-27.4029,153.0297,Kedron,Queensland,Australia,Rugby League,58
-27.4419,152.9386,The Gap,Queensland,Australia,Tennis,33
-27.5976,153.0770,Runcorn,Queensland,Australia,Tennis,21
-33.8814,151.1800,Glebe,New South Wales,Australia,Tennis,83
-33.7722,151.0172,North Rocks,New South Wales,Australia,Tennis,21
-33.6833,151.1000,Hornsby,New South Wales,Australia,Soccer,850
-33.7833,150.9833,Northmead,New South Wales,Australia,Tennis,67
-37.8333,144.9667,Melbourne,Victoria,Australia,Rugby Union,45
-34.8500,138.6500,Gilles Plains,South Australia,Australia,Tennis,101
-33.8797,150.8778,Edensor Park,New South Wales,Australia,Rugby League,45
-16.5133,145.4644,Port Douglas,Queensland,Australia,Rugby League,9
-27.5167,153.1833,Capalaba,Queensland,Australia,Cricket,34
-27.8833,153.3000,Upper Coomera,Queensland,Australia,Tennis,47
-34.0341,151.0119,Barden Ridge,New South Wales,Australia,Australian Rules,3
-27.2925,152.9678,Bray Park,Queensland,Australia,Soccer,388
-37.8167,144.9000,Yarraville,Victoria,Australia,Tennis,64
-37.7500,145.1167,Templestowe,Victoria,Australia,Soccer,59
-33.8794,151.2193,Surry Hills,New South Wales,Australia,Soccer,1067
-33.7378,151.0722,Pennant Hills,New South Wales,Australia,Cricket,435
-31.9550,115.8359,Subiaco,Western Australia,Australia,Australian Rules,32
-27.9079,153.2566,Oxenford,Queensland,Australia,Australian Rules,24
-37.7945,145.2389,Ringwood,Victoria,Australia,Australian Rules,1341
-33.8667,150.9500,Fairfield,New South Wales,Australia,Rugby League,311
-27.5333,152.9833,Corinda,Queensland,Australia,Rugby League,50
-25.3305,152.8062,Hervey Bay,Queensland,Australia,Rugby League,23
