"event_id","sport_name","pre_play_turnover","in_play_turnover"
"2.100519143","Soccer",63007.7,5055.36
"2.100539632","Cricket",2753.3,7001.26
"2.100539633","Cricket",4400.96,253
"2.100539634","Cricket",502626.89,52354.95
"2.100547613","Tennis",5376522.68,1322670.72
"2.100547614","Tennis",1844214.54,229489.86
"2.100551410","Rugby League",1113385.43,7118.61
"2.100554211","Australian Rules",2207851.6,13416.74
"2.100556868","Australian Rules",553688.46,99204.64
"2.100556991","Australian Rules",308825.53,876.35
"2.100556994","Australian Rules",124412.88,12.06
"2.100557013","Australian Rules",3264,168.32
"2.100557014","Australian Rules",5276.94,122.78
"2.100557016","Australian Rules",64285.27,168.01
"2.100557017","Australian Rules",35413.97,1573.57
"2.100557578","Rugby League",13836.81,139.61
"2.100557579","Rugby League",282.53,78.05
"2.100567884","Rugby League",75810.6,37009.62
"2.100577124","Cricket",90.18,90.18
"2.100577276","Cricket",101369.25,5595.09
"2.100579793","Rugby League",184607.37,116336.63
"2.100579832","Rugby League",114773.62,119185.14
"2.100579833","Rugby League",9362.53,19.99
"2.100579834","Rugby League",8682.41,7.51
"2.100579835","Rugby League",1190.76,617.5
"2.100579836","Rugby League",7234.48,1090.04
"2.100579837","Rugby League",7778.2,11.68
"2.100579871","Rugby League",83044.16,50853.94
"2.100579873","Rugby League",1306.84,234.06
"2.100579875","Rugby League",3084.99,339.85
"2.100579902","Rugby League",250.82,413.72
"2.100579910","Rugby League",164694.13,164023.49
"2.100579911","Rugby League",492.26,1186.52
"2.100579914","Rugby League",1660.08,1031.12
"2.100579915","Rugby League",4298.58,4.12
"2.100579949","Rugby League",68301.64,52301.8
"2.100579953","Rugby League",1380,788.26
"2.100579988","Rugby League",140369.68,40434.94
"2.100579989","Rugby League",10070.84,241.16
"2.100579992","Rugby League",7939.72,199.98
"2.100579993","Rugby League",4537.53,69.97
"2.100580027","Rugby League",166217.4,59629.96
"2.100580028","Rugby League",18638.2,490.92
"2.100580029","Rugby League",2305.98,150
"2.100580031","Rugby League",12535.28,1267.96
"2.100580066","Rugby League",139463.86,85962.44
"2.100580067","Rugby League",33548.28,1242.58
"2.100580068","Rugby League",7463.55,1091.95
"2.100580069","Rugby League",472.09,41.95
"2.100580070","Rugby League",17804.84,2972.42
"2.100580071","Rugby League",6469.35,718.09
"2.100580077","Rugby League",2469.5,13.7
"2.100581713","Cricket",1145052.63,8451985.03
"2.100581714","Cricket",3857.91,48410.57
"2.100581715","Cricket",27.18,74.94
"2.100581716","Cricket",618.38,383.28
"2.100581717","Cricket",4716.95,7282.91
"2.100581718","Cricket",4424.44,318.34
"2.100581721","Cricket",736.18,122113.24
"2.100581747","Cricket",37819.46,120211.34
"2.100581773","Cricket",618.65,1171.27
"2.100581774","Cricket",106.52,85.74
"2.100581775","Cricket",235.82,80
"2.100581776","Cricket",2278.4,2606.38
"2.100581803","Cricket",139.5,1083.2
"2.100581807","Cricket",923.81,821.63
"2.100581809","Cricket",2640.9,107.6
"2.100581811","Cricket",281.86,1687.98
"2.100581863","Cricket",264.72,238.28
"2.100581867","Cricket",18.04,254.08
"2.100581868","Cricket",102.6,80.58
"2.100581870","Cricket",50,226.52
"2.100581871","Cricket",291.7,940.16
"2.100581873","Tennis",7876.7,307.18
"2.100582798","Tennis",21685.38,417470.92
"2.100582799","Tennis",2683.34,2962.44
"2.100582800","Tennis",42.6,370.46
"2.100582801","Tennis",48.96,3.18
"2.100582802","Tennis",27917.53,471948.33
"2.100582803","Tennis",27598.92,256915.58
"2.100582804","Tennis",2061.26,68503.56
"2.100582805","Tennis",1601.24,20.96
"2.100582818","Tennis",6324.83,77053.97
"2.100582822","Tennis",21609.32,64363.02
"2.100582823","Tennis",27860.65,147830.11
"2.100582824","Tennis",228.69,4273.57
"2.100582826","Tennis",7993.77,288498.15
"2.100582827","Tennis",21332.94,262096.94
"2.100582828","Tennis",3.17,11293.85
"2.100582830","Tennis",13068.31,21659.29
"2.100582831","Tennis",44768.19,200097.85
"2.100582833","Tennis",3.17,3.17
"2.100583080","Cricket",11135.86,22.9
"2.100583082","Rugby League",68738.42,21112.82
"2.100584350","Cricket",3931.46,77.94
"2.100584358","Cricket",6.59,6.59
"2.100585416","Cricket",1353.56,191.66
"2.100585417","Cricket",748.5,352
"2.100586439","Rugby Union",94955.56,1539
"2.100588438","Cricket",1189.83,57.83
"2.100588457","Cricket",1458.57,72.57
"2.100588458","Cricket",670.75,76.29
"2.100588460","Cricket",1241.92,2297.98
