calendar_dt,sport_name,turnover_gbp
2013-01-02T00:00:00.0000000,Cricket,397213.9776
2013-01-02T00:00:00.0000000,Soccer,258318.08
2013-01-02T00:00:00.0000000,Tennis,343680.6656
2013-01-03T00:00:00.0000000,Cricket,735404.416
2013-01-03T00:00:00.0000000,Soccer,46056.1152
2013-01-03T00:00:00.0000000,Tennis,284679.9872
2013-01-04T00:00:00.0000000,Cricket,540412.0512
2013-01-04T00:00:00.0000000,Rugby Union,3340.0256
2013-01-04T00:00:00.0000000,Soccer,88248.1664
2013-01-04T00:00:00.0000000,Tennis,279125.0752
2013-01-05T00:00:00.0000000,Cricket,428871.6096
2013-01-05T00:00:00.0000000,Rugby Union,9703.296
2013-01-05T00:00:00.0000000,Soccer,403825.4272
2013-01-05T00:00:00.0000000,Tennis,255779.3728
2013-01-06T00:00:00.0000000,Cricket,1975344.883
2013-01-06T00:00:00.0000000,Rugby Union,582.0608
2013-01-06T00:00:00.0000000,Soccer,441057.7088
2013-01-06T00:00:00.0000000,Tennis,109412.9216
2013-01-07T00:00:00.0000000,Cricket,409278.4704
2013-01-07T00:00:00.0000000,Soccer,83243.1232
2013-01-07T00:00:00.0000000,Tennis,176933.4656
2013-01-08T00:00:00.0000000,Cricket,707264.672
2013-01-08T00:00:00.0000000,Soccer,115767.3152
2013-01-08T00:00:00.0000000,Tennis,240366.1952
2013-01-09T00:00:00.0000000,Cricket,507291.5328
2013-01-09T00:00:00.0000000,Soccer,105907.008
2013-01-09T00:00:00.0000000,Tennis,293648.8256
2013-01-10T00:00:00.0000000,Cricket,496897.9904
2013-01-10T00:00:00.0000000,Rugby Union,97.3248
2013-01-10T00:00:00.0000000,Soccer,86208.3072
2013-01-10T00:00:00.0000000,Tennis,314888.928
2013-01-11T00:00:00.0000000,Cricket,1142869.939
2013-01-11T00:00:00.0000000,Rugby Union,3845.5552
2013-01-11T00:00:00.0000000,Soccer,146491.7952
2013-01-11T00:00:00.0000000,Tennis,170125.792
2013-01-12T00:00:00.0000000,Cricket,237007.6352
2013-01-12T00:00:00.0000000,Rugby Union,2944.704
2013-01-12T00:00:00.0000000,Soccer,502658.8992
2013-01-12T00:00:00.0000000,Tennis,221195.2
2013-01-13T00:00:00.0000000,Cricket,633314.7008
2013-01-13T00:00:00.0000000,Rugby Union,3149.7024
2013-01-13T00:00:00.0000000,Soccer,546757.536
2013-01-14T00:00:00.0000000,Cricket,214493.0176
2013-01-14T00:00:00.0000000,Soccer,62464.224
2013-01-14T00:00:00.0000000,Tennis,1318029.331
2013-01-15T00:00:00.0000000,Cricket,810421.088
2013-01-15T00:00:00.0000000,Soccer,110263.9744
2013-01-15T00:00:00.0000000,Tennis,1191599.501
2013-01-16T00:00:00.0000000,Cricket,786177.2288
2013-01-16T00:00:00.0000000,Soccer,224242.5024
2013-01-16T00:00:00.0000000,Tennis,1003566.637
2013-01-17T00:00:00.0000000,Cricket,7902.272
2013-01-17T00:00:00.0000000,Rugby Union,5541.9008
2013-01-17T00:00:00.0000000,Soccer,78046.5728
2013-01-17T00:00:00.0000000,Tennis,1460874.624
2013-01-18T00:00:00.0000000,Cricket,429938.1952
2013-01-18T00:00:00.0000000,Rugby Union,1591.4176
2013-01-18T00:00:00.0000000,Soccer,150045.312
2013-01-18T00:00:00.0000000,Tennis,1232669.51
2013-01-19T00:00:00.0000000,Cricket,983302.4896
2013-01-19T00:00:00.0000000,Rugby Union,3672.512
2013-01-19T00:00:00.0000000,Soccer,548758.2208
2013-01-19T00:00:00.0000000,Tennis,1627311.584
2013-01-20T00:00:00.0000000,Cricket,134123.8784
2013-01-20T00:00:00.0000000,Rugby Union,2412.1216
2013-01-20T00:00:00.0000000,Soccer,377025.2928
2013-01-20T00:00:00.0000000,Tennis,1225493.818
2013-01-21T00:00:00.0000000,Cricket,7569.2288
